AHSG_001;AHSG_002;AHSG_003;AHSG_004;APMAP_005;APMAP_006;APMAP_006.N;APMAP_007;APMAP_008;B2M_010;B2M_011;C9_075;C9_076;C9_077;C9_078;C9_079;CDH2_013;CDH2_013.N;CDH2_014;CDH2_015;CLEC3B_017;CLEC3B_018;CLEC3B_019;CLEC3B_020;COMP_021;COMP_022;COMP_023;F9_025;F9_026;F9_027;F9_028;H6PD_029;H6PD_030;H6PD_031;H6PD_032;H6PD_033;HSPA8_080;HSPA8_081;HSPA8_082;HSPA8_083;HSPA8_083.misscl;HSPA8_084;IGFBP3_093;IGFBP3_094;IGFBP3_096;IGHV1.24_034;IGHV1.24_035;IGHV1.24_036;IGHV1.24_036.Mox;ITIH4_103;ITIH4_104;ITIH4_105;ITIH4_106;ITIH4_108;KRT2_085;KRT2_086;KRT2_087;KRT6B_037;KRT6B_038;KRT78_039;KRT78_040;KRT78_041;LRG1_042;LRG1_043;LRG1_044;LRG1_045;MCAM_046;MCAM_047;MCAM_048;MCAM_049;MRC1_071;MRC1_072;MRC1_073;MRC1_074;PKM_089;PKM_090;PKM_091;PKM_091.Mox;PKM_092;TNXB_097;TNXB_098;TNXB_099;TNXB_100;TNXB_101;TNXB_102;Experimental_Group;group
1,047468543;3,836812973;8,613645554;6,988522053;-6,020925999;-5,526161194;-7,243318081;-5,779917717;-5,368849277;1,202135682;-4,380821705;-0,787119389;1,634593248;-2,415807247;-6,795859337;2,760817051;-8,895395279;-10,2877121;-8,965784073;-9,48035717;2,662137032;-3,470728874;-0,629277766;-3,627716541;-7,002310276;-9,117787361;-6,733123779;1,418297887;6,026072025;-5,01624918;-5,321928024;-8,078259468;-10,70275021;-9,587272644;-9,380822182;-9,039784431;-7,26534462;-6,210896969;-6,493296623;-4,519527912;-12,2877121;-5,680382252;-6,405069351;-5,310432434;-1,433623195;-6,25428915;-7,26534462;-3,490050793;-10,48035717;-10,11778736;0,959547639;-3,202903986;0,217602924;0,588228881;-10,96578407;-12,26954746;-12,2877121;-11,2877121;-13,2877121;-10,96578407;-12,09461021;-13,16955757;-0,598151088;-1,770535111;-0,70087266;0,410666794;-10,96578407;-8,243318558;-4,67300272;-3,620600939;-9,117787361;-9,117787361;-8,532824516;-10,96578407;-3,11278677;-7,405069351;-7,895394802;-12,18516159;-7,45482254;-10,48035717;-9,200249672;-8,895395279;-8,965784073;-9,200249672;-6,983931541;A19.17_PR3.active;0
0,438399345;3,012175322;8,843949318;6,522090435;-6,392894745;-5,310432434;-7,117787361;-5,448508739;-5,398969173;1,51475358;-5,345198154;-0,413115203;1,941294193;-1,987932086;-6,811978817;3,178905725;-8,895395279;-10,48035717;-8,76415062;-9,587272644;2,415839672;-3,423526287;-0,656762779;-3,563198566;-7,480357647;-9,965784073;-6,947862148;1,679919124;6,746444225;-4,386845589;-5,049307823;-7,828280926;-9,287712097;-8,158429146;-9,117787361;-7,965784073;-8,895395279;-7,45482254;-8,287712097;-5,210896969;-9,702750206;-6,947862148;-6,442222118;-4,740818024;-1,093571067;-6,200249672;-6,333516121;-1,994815588;-5,499809742;-9,965784073;1,306262255;-3,75438261;0,250476539;1,032312512;-10,96578407;-13,2877121;-12,2877121;-11,70275021;-13,2877121;-10,96578407;-12,2877121;-13,2877121;-0,471128613;-1,551733255;-1,150721312;0,618896365;-10,60847282;-8,243318558;-4,882570744;-3,912672997;-8,117787361;-10,11778736;-9,117787361;-9,587272644;-3,503077507;-7,795859337;-10,70275021;-12,18516159;-8,117787361;-11,70275021;-9,200249672;-8,243318558;-8,287712097;-9,200249672;-7,356975079;A19.18_PR3.active;0
0,56812942;3,186643124;15,89197445;6,693093777;-6,429731369;-5,740818024;-7,559792042;-6,078258991;-5,608232021;0,240985915;-4,740818024;-0,704394579;1,477573752;-1,925220609;-8,117787361;3,055993795;-8,828280449;-10,96578407;-9,200249672;-9,965784073;2,791584969;-2,932361364;0,01178193;-3,830331564;-6,380821705;-8,828280449;-6,493296623;1,82113874;6,813309193;-4,307572842;-4,587272644;-6,519527912;-13,2877121;-8,587272644;-9,039784431;-9,702750206;-8,643856049;-7,221623421;-7,26534462;-5,020925999;-10,48035717;-6,828280926;-5,559792042;-4,125320911;-0,281035632;-5,69525528;-7,333516121;-4,130365372;-5,237864017;-9,48035717;0,717034817;-3,445362091;-0,437134802;0,637656569;-11,2877121;-13,2877121;-11,70275021;-11,70275021;-13,2877121;-10,2877121;-13,2877121;-13,2877121;-1,040378213;-2,902928591;-1,325177789;0,201131999;-10,2877121;-7,643856049;-4,327710629;-4,085588455;-9,117787361;-9,287712097;-8,76415062;-10,70275021;-3,317606449;-7,733123779;-7,559792042;-13,2877121;-7,930160522;-9,828280449;-8,48035717;-8,333516121;-8,002309799;-8,76415062;-6,983931541;A19.19_PR3.active;0
1,174981594;4,378726482;9,722043991;7,01250267;-6,895394802;-5,756330967;-7,45482254;-6,078258991;-5,820106983;0,162596777;-5,179187775;0,004465491;2,517653704;-1,425462484;-7,965784073;3,708374977;-8,587272644;-9,48035717;-9,587272644;-10,48035717;2,702458143;-3,867752314;-0,593354464;-3,625934362;-7,559792042;-9,587272644;-7,179187775;1,803681731;6,663546562;-4,287712574;-4,799872398;-8,587272644;-2,935668945;-8,895395279;-10,11778736;-7,702749729;-9,039784431;-7,429731369;-9,380822182;-4,687799454;-10,11778736;-7,287712574;-5,448508739;-4,39592886;-0,848660707;-5,573466778;-6,615286827;-2,326986313;-6,127840996;-6,947862148;1,700040102;-2,97256279;0,813524723;1,082975149;-10,96578407;-13,2877121;-10,96578407;-12,2877121;-13,2877121;-11,2877121;-11,70275021;-13,2877121;-0,299560279;-2,181149483;-0,678071916;0,589571714;-11,2877121;-8,002309799;-4,69525528;-3,876201391;-7,76415062;-8,702750206;-9,200249672;-11,70275021;-3,934565544;-8,333516121;-7,76415062;-13,2877121;-8,48035717;-9,380822182;-9,587272644;-9,200249672;-8,702750206;-9,828280449;-8,002309799;A19.22_PR3.active;0
0,770533025;3,557410002;10,16509533;6,95427084;-6,748553753;-6,392894745;-7,405069351;-5,725470066;-5,912672997;0,196481168;-6,058893681;-0,59117949;1,262252688;-2,220950365;-7,158429146;2,733875036;-9,039784431;-11,07751656;-9,965784073;-10,2877121;2,878136873;-3,618827343;-0,556605518;-3,938984156;-7,861447811;-9,828280449;-7,733123779;2,155846357;7,212339878;-3,351074457;-4,120294094;-8,380822182;-10,48035717;-8,76415062;-8,532824516;-8,702750206;-8,587272644;-7,405069351;-7,45482254;-4,439089298;-9,965784073;-6,519527912;-5,493296623;-4,070966721;-0,558304131;-7,733123779;-8,76415062;-4,934565544;-7,733123779;-10,48035717;0,847836614;-3,136695862;0,033933934;0,946655989;-11,2877121;-13,2877121;-11,2877121;-11,2877121;-12,76116562;-10,96578407;-11,70275021;-13,2877121;-0,884433985;-2,477140665;-1,20423305;0,280124933;-10,48035717;-8,158429146;-4,429731369;-3,83650136;-8,587272644;-8,429731369;-7,587272644;-10,11778736;-3,469130278;-7,930160522;-7,828280926;-11,70275021;-8,117787361;-9,380822182;-8,76415062;-8,587272644;-7,965784073;-8,828280449;-6,895394802;A19.26_PR3.active;0
-0,181640267;2,441589832;8,329387665;5,584851265;-5,869859695;-5,248793602;-6,965784073;-5,702749729;-5,36289978;1,266696572;-0,583160222;-0,98393172;1,318519354;-2,556393385;-7,480357647;2,533139706;-9,200249672;-9,587272644;-8,965784073;-9,287712097;2,179319859;-4,145605564;-1,007231593;-4,11278677;-7,380821705;-10,70275021;-7,310432434;1,806159139;6,342842579;-4,811978817;-5,06371069;-8,532824516;-11,70275021;-9,039784431;-9,828280449;-9,702750206;-9,702750206;-8,158429146;-7,895394802;-5,733123779;-10,70275021;-7,559792042;-6,380821705;-5,002310276;-1,013625503;-6,405069351;-8,380822182;-4,429731369;-8,587272644;-10,70275021;-0,089267343;-2,449296236;-0,050801296;0,711847246;-9,828280449;-11,2877121;-10,48035717;-10,96578407;-12,2877121;-10,96578407;-11,70275021;-13,2877121;-0,754139364;-2,277883768;-0,943139076;0,220701426;-9,965784073;-8,333516121;-4,414268017;-3,729291677;-8,828280449;-8,965784073;-7,861447811;-9,965784073;-5,117787361;-9,039784431;-8,76415062;-12,18516159;-9,380822182;-10,11778736;-8,828280449;-8,587272644;-8,333516121;-9,287712097;-7,559792042;A20.1_PR3.active;0
-0,370340347;2,572938204;7,726015091;5,470243931;-6,947862148;-6,902435303;-8,200249672;-6,345198154;-6,67300272;2,319473505;-5,293358803;-0,177065909;1,681134343;-2,346664667;-9,287712097;2,911058664;-7,795859337;-9,380822182;-7,930160522;-8,643856049;1,684369922;-4,496549606;-1,614845157;-3,899695158;-6,861447811;-9,200249672;-6,687799454;2,394980431;7,045458317;-4,542878628;-4,587272644;-8,532824516;-10,96578407;-8,76415062;-9,828280449;-9,200249672;-8,243318558;-6,811978817;-7,333516121;-5,020925999;-9,039784431;-5,993091583;-5,553002834;-4,125320911;-0,863283575;-6,097887993;-7,506352901;-4,06371069;-5,53951931;-9,965784073;0,831309736;-2,738890409;0,455649436;1,225460052;-11,2877121;-12,26954746;-11,2877121;-11,2877121;-12,2877121;-11,2877121;-10,96578407;-13,2877121;-0,121549293;-1,232768893;-0,517668009;0,935384333;-10,96578407;-8,200249672;-4,748553753;-4,066125393;-8,287712097;-7,828280926;-7,356975079;-9,828280449;-3,307572842;-7,587272644;-7,380821705;-10,2877121;-7,895394802;-9,039784431;-8,702750206;-8,895395279;-7,965784073;-9,039784431;-7,200249672;A20.3_PR3.active;0
1,343351007;2,832971096;9,00270462;7,220280647;-7,002310276;-11,70275021;-8,002309799;-6,844769001;-6,493296623;-0,177881718;-2,75438261;-0,468132049;1,324983358;-2,328434944;-5,636660576;2,812477589;-8,200249672;-10,2877121;-9,828280449;-10,2877121;3,333581209;-3,096653223;-0,191161975;-3,394410849;-6,546245098;-8,828280449;-6,011588097;1,71329987;6,21877718;-4,490050793;-5,107803345;-8,333516121;-11,2877121;-8,002309799;-9,702750206;-8,380822182;-10,11778736;-8,333516121;-8,078259468;-6,011588097;-10,70275021;-7,895394802;-6,811978817;-3,723562956;-0,524707556;-6,243318081;-7,058893681;-0,93373847;-7,559792042;-10,96578407;-2,287008047;-3,620600939;-0,094649084;0,442757756;-11,2877121;-10,70275021;-10,96578407;-12,2877121;-12,2877121;-11,2877121;-9,587272644;-13,16955757;-1,438307285;-2,492484331;-1,756818414;-0,584025025;-10,48035717;-7,733123779;-4,354021549;-3,645660639;-9,48035717;-11,2877121;-9,702750206;-10,48035717;-4,882570744;-9,287712097;-10,11778736;-11,2877121;-9,48035717;-9,702750206;-8,587272644;-8,380822182;-7,333516121;-8,965784073;-6,733123779;PR3_active_A20.21;0
1,042504191;3,626065254;9,344553947;6,890748501;-7,221623421;-6,687799454;-7,861447811;-6,532824993;-6,965784073;-1,103146911;-4,676687717;-0,928786457;1,60435605;-2,294774055;-6,76415062;2,478013992;-9,702750206;-11,2877121;-10,70275021;-10,96578407;2,772624731;-3,348133087;-0,568323612;-3,663830757;-7,429731369;-10,48035717;-7,179187775;1,498301864;5,820796967;-4,938984394;-5,532824993;-9,380822182;-11,2877121;-10,70275021;-10,11778736;-9,287712097;-10,48035717;-8,76415062;-9,587272644;-5,733123779;-10,70275021;-7,506352901;-4,633076191;-3,60823226;-0,308465838;-7,405069351;-6,795859337;-1,16165328;-5,772012711;-11,70275021;-0,049755599;-4,080698013;-0,552156389;0,260146141;-11,70275021;-13,2877121;-11,70275021;-11,2877121;-13,2877121;-11,2877121;-13,2877121;-13,2877121;-1,777937412;-2,610873699;-1,98165071;-0,857521117;-11,70275021;-8,702750206;-4,783886433;-4,324816227;-9,587272644;-9,828280449;-9,828280449;-11,2877121;-4,8079319;-8,965784073;-9,200249672;-11,70275021;-9,828280449;-9,965784073;-9,287712097;-9,117787361;-8,48035717;-9,587272644;-7,405069351;A20.22_PR3.active;0
0,935912311;3,761359692;9,139363289;6,654469967;-5,461163998;-5,356975079;-7,559792042;-5,878321171;-5,710283756;-1,420819879;-3,354021788;-0,964939177;1,310747266;-2,636660814;-6,930160522;2,484447479;-9,287712097;-11,70275021;-9,287712097;-10,48035717;2,238053083;-3,376320362;-0,619935572;-3,187050104;-7,039784908;-9,287712097;-6,559792042;1,985937595;6,58845377;-4,477140903;-5,725470066;-8,895395279;-11,2877121;-12,2877121;-10,11778736;-8,895395279;-8,643856049;-7,643856049;-6,861447811;-5,435963154;-10,48035717;-7,020925999;-5,102837086;-3,797864437;-0,45660314;-3,89324975;-5,844769001;-3,746615648;-6,232429981;-7,702749729;0,210887566;-4,058893681;-0,460171223;0,627139866;-10,96578407;-13,2877121;-11,2877121;-13,2877121;-13,2877121;-11,70275021;-12,09461021;-13,16955757;-1,608672261;-2,648371696;-3,228367805;-1,139871478;-11,70275021;-8,002309799;-4,426625252;-3,772012472;-9,039784431;-9,380822182;-9,48035717;-10,48035717;-3,820106745;-8,078259468;-10,96578407;-12,18516159;-8,429731369;-9,828280449;-8,702750206;-8,532824516;-7,702749729;-8,965784073;-7,137965202;A20.25_PR3.active;0
